ID,title,author,numAuthors,binding,publisher,isbn,pubYear,pubMonth,pubDay,pages,volume,lang,editionDescr
1,Cronici de Cafenea,,0,,,,,,,,,,
2,Instructor's Manual: Im Mod. Princ. Athlet. Train,"Arnheim, D.D.",1,Paperback,CABI,9780000000644,1970,1,01,28,,ENG,
3,Corn of America : Maize,Ten Speed Press Staff,1,Paperback,CABI,9780000000910,1971,1,01,56,,ENG,
4,Cywiro,"Cymru, Meu",1,CD/Spoken Word,Zondervan,9780000773920,2005,1,,,,ENG,
5,Far from the Madding Crowd,,0,Audio Cassette,HarperCollins Publishers Limited,9780001046832,2000,3,,,,ENG,Abridged
6,Point of Origin,"Cornwell, Patricia",1,Audio Cassette,Ulverscroft Audio (U.S.A.),9780001055391,1998,0,,,,ENG,
7,Christmas Program Builder,"Miller, Paul",1,Paperback,Lillenas Publishing Company,9780001539389,1991,7,,,,ENG,
8,Dreaming Tree,"Brown, Alan",1,Trade Cloth,Zondervan,9780001983212,2000,9,,29,,ENG,
9,Pookie,"Wallace, Ivy",1,Trade Cloth,HarperCollins Publishers Limited,9780001983779,2001,3,,32,,ENG,
10,Letters from Prison : Felons Write about the Struggle for Life and Sanity Behind Bars,,0,Trade Cloth,HarperCollins Publishers,9780002000864,2002,,,265,,ENG,
11,Royal Gardens,"Moore, Derry Plumptre, George",2,Trade Cloth,HarperCollins Publishers,9780002118712,1981,,,"224 ",,ENG,
12,Paris,"Cronin, V.",1,Trade Cloth,Zondervan,9780002151917,1995,9,,384,,ENG,
13,Saint among Savages,"Kingsland, Rosemary Wright, John",2,Trade Cloth,HarperCollins Publishers,9780002167406,1980,,,"183 ",,ENG,
14,AAA Runner's Guide,,0,Trade Cloth,Trafalgar Square Publishing,9780002184625,,,,192,,ENG,
15,Cage and Aviary Birds,"Martin, M. P.",1,Paperback,HarperCollins Publishers,9780002192385,1980,1,,256,,ENG,
16,Country Cooks,,0,Trade Cloth,HarperCollins Publishers,9780002250313,1994,1,,,,ENG,
17,Snoopy : Not Your Average Dog,"Schulz, Charles M.",1,Trade Cloth,HarperCollins Publishers,9780002251884,1996,1,,80,,ENG,
18,Bread and Chocolate,"Gregory, Philippa",1,Trade Cloth,HarperCollins Publishers,9780002257619,2000,,,247,,ENG,
19,In This Block There Lives a Slag,"Broady, Bill",1,Paperback,HarperCollins Publishers Limited,9780002259477,2001,,,242,,ENG,
20,Lemons : A Country Garden Cookbook,"Idone, Christopher",1,Trade Cloth,HarperCollins Publishers,9780002551656,1993,4,08,96,,ENG,
21,New Dictionary of Modern Thought,"Guvnor, Bullock",1,Trade Cloth,HarperCollins Publishers,9780002558716,1999,,,"xxiv, 933",,ENG,
22,Last Jet-Engine Laugh,"Joshi, Ruchir",1,Trade Cloth,Zondervan,9780002570893,2003,2,,384,,ENG,
23,Dangerous Ground,"Cook, Roger",1,Trade Cloth,HarperCollins Publishers Limited,9780002572101,,,,320,,ENG,Revised
24,Murder at the Altar,"Heley, Veronica",1,Trade Cloth,Zondervan,9780002740739,2000,2,,290,,ENG,
25,Reading Comprehension Passages Bk. 4 : Text,John,1,Paperback,"Addison-Wesley Longman, Incorporated",9780003701043,1991,1,,,,ENG,
26,Cobuild English Language Dictionary : Helping Learners with Real English,Collins Staff,1,Trade Cloth,HarperCollins Publishers,9780003750294,1996,5,24,1728,,ENG,
27,Design for Structural Stability,"Nethercot, D. A. Kirby, P. A.",2,Paperback,"Wiley & Sons, Incorporated, John",9780003830460,1991,1,15,180,,ENG,
28,Composite Stuctures of Steel and Concrete : Bridges,"Johnson, R. P. Buckby, R. J.",2,Trade Cloth,"Sheridan House, Incorporated",9780003831535,1986,1,,420,2,ENG,
29,Argentina and Chile Pocket Map,HarperCollins Publishers Ltd. Staff,1,Other,HarperCollins Publishers Limited,9780004490540,2004,8,24,,,ENG,
30,Indian Subcontinent Pocket Map,HarperCollins Publishers Ltd. Staff,1,Other,HarperCollins Publishers Limited,9780004490960,2004,1,01,,,ENG,
31,Collins Gem Greek Dictionary,"Hionides, Harry T.",1,Paperback,HarperCollins Publishers,9780004585482,1990,7,,640,,"Greek,ENG",
32,Collins Gem German Verb Tables and Grammar,"Sinclair, Lorna MacLean, Ilse",2,Paperback,HarperCollins Publishers,9780004593395,1992,8,,256,,"German,ENG",
33,Collins Biographical Dictionary of Scientists,"Williams, Trevor",1,Trade Cloth,HarperCollins Publishers,9780004701097,1995,4,,80,,ENG,
34,"Collins Gem French Dictionary : French-English, English-French",Collins Staff,1,Paperback,HarperCollins Publishers,9780004707662,2000,4,,640,,"ENG,FRE",
35,Edinburgh the Best,"Irvine, Peter",1,Trade Cloth,HarperCollins Publishers Limited,9780004724645,2000,6,01,128,,ENG,
36,Beatification Sister Faustina,Faustina,1,"""Video, VHS Format""",Vision Video,9780005000243,1993,1,,,,ENG,
37,Gospel Truth,,0,Compact Disc,Lillenas Publishing Company,9780005018026,1993,2,01,,,ENG,
38,Christening Bible : King James Version,,0,Trade Cloth,HarperCollins Publishers Limited,9780005101353,2000,7,01,1056,,ENG,Gift
39,Discerning of Spirits,,0,Paperback,"Arrow Publications, Incorporated",9780005114131,1996,5,,,,ENG,
